accession,SMILES
BGC0000559,C=C(NC(=O)C(NC(=O)C(CCCCN)NC(=O)C1CSC(C)C2NC(=O)C(CC(C)C)NC(=O)C(NC(=O)C(CCC(N)=O)NC(=O)C(CC(C)C)NC(=O)C(Cc3ccccc3)NC(=O)C3CSC(C)C(NC(=O)C(NC(=O)C4CSC(C)C(NC(=O)C5CSCC(NC(=O)C(CCCCN)NC(=O)C(N)Cc6c[nH]c7ccccc67)C(=O)NC(CCC(=O)O)C(=O)NC(=C)C(=O)NC(CC(C)C)C(=O)N5)C(=O)N5CCCC5C(=O)NCC(=O)N4)C(C)C)C(=O)NCC(=O)NC(C)C(=O)NC(CC(C)C)C(=O)NC(CCC(N)=O)C(=O)NC(=CC)C(=O)N3)C(C)SCC(NC2=O)C(=O)NC(CC(N)=O)C(=O)N1)C(C)CC)C(=O)NC(CCCCN)C(=O)O
BGC0000535,C=C(NC(=O)C(NC(=O)C(Cc1c[nH]cn1)NC(=O)C(NC(=O)C(CO)NC(=O)C1CSC(C)C2NC(=O)C(C)NC(=O)C(NC(=O)C(CCCCN)NC(=O)C(CCSC)NC(=O)C(CC(N)=O)NC(=O)C3CSC(C)C(NC(=O)C(CCCCN)NC(=O)C4CSC(C)C(NC(=O)C5CSCC(NC(=O)C(=CC)NC(=O)C(N)C(C)CC)C(=O)NC(C(C)CC)C(=O)NC(=C)C(=O)NC(CC(C)C)C(=O)N5)C(=O)N5CCCC5C(=O)NCC(=O)N4)C(=O)NCC(=O)NC(C)C(=O)NC(CC(C)C)C(=O)NC(CCSC)C(=O)NCC(=O)N3)C(C)SCC(NC2=O)C(=O)NC(Cc2c[nH]cn2)C(=O)N1)C(C)CC)C(C)C)C(=O)NC(CCCCN)C(=O)O
BGC0000511,C=C(NC(=O)C(NC(=O)C(Cc1c[nH]cn1)NC(=O)C1CSC(C)C2NC(=O)C(C(C)CC)NC(=O)C(NC(=O)C(CCC(N)=O)NC(=O)C(CC(C)C)NC(=O)C(Cc3ccccc3)NC(=O)C3CSC(C)C(NC(=O)C(NC(=O)C4CSC(C)C(NC(=O)C5CSCC(NC(=O)C(CCCCN)NC(=O)C(N)Cc6c[nH]c7ccccc67)C(=O)NC(CCC(=O)O)C(=O)NC(=C)C(=O)NC(C(C)C)C(=O)N5)C(=O)N5CCCC5C(=O)NCC(=O)N4)C(C)C)C(=O)NCC(=O)NC(C(C)C)C(=O)NC(CC(C)C)C(=O)NC(CCC(N)=O)C(=O)NC(=CC)C(=O)N3)C(C)SCC(NC2=O)C(=O)NC(CC(N)=O)C(=O)N1)C(C)CC)C(=O)NC(CCCCN)C(=O)O
BGC0000549,C=C(NC(=O)C(NC(=O)C(Cc1cnc[nH]1)NC(=O)C(NC(=O)C(Cc1cnc[nH]1)NC(=O)C(NC(=O)C(CC(N)=O)NC(=O)C1CSCC(NC(=O)C(CCC(N)=O)NC(=O)C(NC(=O)C(Cc2cnc[nH]2)NC(=O)C2CSCCC(NC(=O)C(NC(=O)C3CSCCC(NC(=O)C4CSCC(NC(=O)C(=CC)NC(=O)C(N)Cc5ccccc5)C(=O)NC(Cc5cnc[nH]5)C(=O)NC(=C)C(=O)NC(CC(C)C)C(=O)N4)C(=O)N4CCCC4C(=O)NCC(=O)N3)C(C)CC)C(=O)NCC(=O)NC(C(C)C)C(=O)NC(CC(C)C)C(=O)NC(CCSC)C(=O)NCC(=O)N2)C(C)CC)C(=O)NC(C(C)CC)C(=O)NCC(=O)N1)C(C)C)C(C)CC)C(C)CC)C(=O)NC(CCCCN)C(=O)O
BGC0000609,C=C(NC(=O)C1=CSC(=C2N=C3C(=CC2=O)c2nc(cs2)C(=O)NC(C(C)O)C(=O)NC(=C(C)OC)c2nc(cs2)C(=O)NC2c4nc(cs4)C(=O)NC(COC(=O)c4c5c6c(cccc6n4O)COC(=O)C(OC4CC(C)(O)C(N(C)C)C(C)O4)C2OC5)c2nc3cs2)N1)C(N)=O.O=C(O)C(F)(F)F
BGC0001707,C=C(NC(=O)C1=CSC(=C2N=C3C(=CC2=O)c2nc(cs2)C(=O)NC(C(C)O)C(=O)NC(=CC)c2nc(cs2)C(=O)NC2CC(O)C(=O)OCc4cccc5[nH]c(c(C)c45)C(=O)SCC(NC(=O)c4csc2n4)c2nc3cs2)N1)C(N)=O
BGC0002810,C=C(NC(=O)C=CC=CCCCC1=CC(=O)OC(C(O)NC(=O)C(C)=CC(C)NC(=O)C=CC=CC)C1)C(=O)NC(C(=O)N1C(=O)C(Cc2c[nH]c3ccccc23)N(C)C(=O)C1=CC)C(C)OC
BGC0001860,C=C(NC(=O)c1csc(-c2ccc3c(n2)-c2csc(n2)-c2csc(n2)C(C(C)C2CO2)NC(=O)C(Cc2ccc(O)cc2)NC(=O)c2csc(n2)C(C(O)c2ccccc2)NC(=O)c2nc(sc2C)C(CC(N)=O)NC(=O)c2csc-3n2)n1)C(=O)NC(=C)C(=O)NC(C)C(=O)O
BGC0000608,C=C(NC(=O)c1csc(-c2nc3c(cc2O)-c2nc(cs2)C(=O)NC(C(C)O)C(=O)NC(=C(C)OC)c2nc(cs2)C(=O)NC2c4nc(cs4)C(=O)NC(COC(=O)c4c5c6c(cccc6n4O)COC(=O)C(OC4CC(C)(O)C(N(C)C)C(C)O4)C2OC5)c2nc-3cs2)n1)C(N)=O
BGC0000056,C=C(OC)C(=O)Nc1cc(OC)c(OC)cc1C(=O)OC1CC(OC2C(=O)C(NC(=O)OC)=C3C(=CCSSSC)C2(O)C#CC=CC#CC3OC2OC(C)C(NOC3CC(O)C(SC)C(C)O3)C(O)C2OC2CC(OC)C(NC(C)C)CO2)OC(C)C1O
BGC0001480,C=C(OC1C(O)C=CC2=C(O)C(=O)CC21)C(=O)OCC(=C)C(O)C(=O)CCCCC
BGC0000527,C=C(S)NC(=O)C(NC(=O)C(CS)NC(=O)C(CCC(=O)O)NC(=O)C(=C)NC(=O)C(CC)NC(=O)C(CC(C)C)NC(=O)C(CC)NC(=O)C(CS)NC(=O)C(NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)C1CCCN1C(=O)C(CC(C)C)NC(=O)C(CC)NC(=O)C(Cc1ccccc1)NC(=O)C(CC)NC(=O)C(N)CS)C(C)C)C(C)CC
