Cluster,True SMILES
BGC0001471_saalfelduracin.fasta,C=C(NC(=O)C(=C)NC(=O)c1csc(C2CCC34NC(=O)C(=C)NC(=O)C(=C)NC(=O)C(=C)NC(=O)C(C)NC5C=Cc6c(C(C)O)cc(nc6C5O)C(=O)OC(C)C(NC(=S)c5csc(n5)C(C(C)(O)C(C)O)NC(=O)C5CSC(=N5)C(=CC)NC(=O)C(C(C)O)NC(=O)c5csc3n5)c3nc(cs3)C4N2)n1)C(=O)O
BGC0001473_Sch_18640.fasta,C=C(NC(=O)C(=C)NC(=O)c1csc(C2CCC34NC(=O)C(C)NC(=O)C(=C)NC(=O)C(C)NC(=O)C(C(C)CC)NC5C=Cc6c(C(C)O)cc(nc6C5O)C(=O)OC(C)C(NC(=S)c5csc(n5)C(C(C)(O)C(C)O)NC(=O)C5CSC(=N5)C(=CC)NC(=O)C(C(C)O)NC(=O)c5csc3n5)c3nc(cs3)C4N2)n1)C(N)=O
BGC0001474_thiopeptin.fasta,C=C(NC(=O)C(=C)NC(=O)c1csc(C2=NC3c4csc(n4)C4NC(=S)c5csc(n5)C(C(C)(O)C(C)O)NC(=O)C5CSC(=N5)C(=CC)NC(=O)C(C(C)O)NC(=O)c5csc(n5)C3(CC2)NC(=O)C(C)NC(=O)C(=C)NC(=O)C(=C)NC(=O)C(C(C)C)NC2C=Cc3c(C(C)O)cc(nc3C2O)C(=O)OC4C)n1)C(N)=O
BGC0001477_lydicamycin.fasta,CC(=CCC(O)CC1CCCN1C(=N)N)C(O)CC=CC(O)C(C)C=CC(O)CC=C(C)C(O)C(C)CCC1C(C)=CC2C(O)C(O)CCC2C1(C)C(=O)C1=C(O)CNC1=O
BGC0001479_nostamide_A.fasta,CCC(C)C1NC(=O)C(NC(=O)NC(Cc2ccccc2)C(=O)O)CCCCNC(=O)C(CCc2ccc(O)cc2)NC(=O)CN(C)C(=O)C(CCc2ccccc2)NC1=O
BGC0001480_Tundrenone.fasta,C=C(OC1C(O)C=CC2=C(O)C(=O)CC21)C(=O)OCC(=C)C(O)C(=O)CCCCC
BGC0001482_terfestatin.fasta,OCC1OC(Oc2c(-c3ccccc3)cc(O)c(-c3ccccc3)c2O)C(O)C(O)C1O
BGC0001483_terfestatin.fasta,OCC1OC(Oc2c(-c3ccccc3)cc(O)c(-c3ccccc3)c2O)C(O)C(O)C1O
BGC0001484_2_amino_2_deoxyadenosine.fasta,Nc1ncnc2c1ncn2C1OC(CO)C(O)C1N
BGC0001487_3_7_dihydroxytropolone.fasta,O=c1c(O)cccc(O)c1O
BGC0001488_4_formylaminooxyvinylglycine.fasta,NC(C=CONC=O)C(=O)O
BGC0001490_6_6_oxybis_2_4_dibromophenol_.fasta,Oc1c(Br)cc(Br)cc1Oc1cc(Br)cc(Br)c1O
BGC0001491_67_121C.fasta,CNc1ccc(C(=O)CC(O)CCC(C)C2OC(=O)CC(O)CC(O)CC(O)CC(O)CC(O)CC(=O)CC3(O)CC(O)C(C(=O)O)C(CC(OC4OC(C)C(OC5OC(CO)C(O)C(O)C5O)C(N)C4O)C=CC=CC=CC=CC=CC=CC=CC2C)O3)cc1
BGC0001492_abyssomicins_M_X.fasta,CC(=O)CC(C)C(=O)C1=C(O)C2(CC(C)C(C)=CC2C=CC(=O)O)OC1=O
BGC0001493_achromosin.fasta,CCC(C)C1NC(=O)CNC(=O)CC(C(=O)NC(C(=O)NC(C(=O)NC(Cc2c[nH]c3ccccc23)C(=O)NC(CC(C)C)C(=O)NC(Cc2c[nH]c3ccccc23)C(=O)NC(CC(=O)O)C(=O)O)C(C)CC)C(C)O)NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(C(C)O)NC(=O)C(CCC(N)=O)NC(=O)C(CO)NC(=O)CNC1=O
BGC0001494_acinetodin.fasta,CCC(C)C1NC(=O)C2CCCN2C(=O)CNC(=O)C(CCCCN)NC(=O)CNC(=O)CNC(=O)CCC(C(=O)NC(C(=O)NC(Cc2c[nH]c3ccccc23)C(=O)NC(C(=O)NC(C(=O)NC(CCC(=O)O)C(=O)NCC(=O)NC(CC(N)=O)C(=O)NC(Cc2ccc(O)cc2)C(=O)NC(Cc2ccc(O)cc2)C(=O)NCC(=O)O)C(C)O)C(C)C)C(C)O)NC(=O)C(Cc2ccccc2)NC1=O
BGC0001495_actinoallolide_A.fasta,CCC(=O)C(C)C(O)C(C)C=C(C)CC(C)C(O)C(C)C1CC=C(C)CC2(C)OC(O)(CC(=O)O1)C(CC)C2=O
BGC0001496_actinokineosin.fasta,CCC(C)C(NC(=O)C(Cc1ccccc1)NC(=O)C(NC(=O)C(Cc1ccc(O)cc1)NC(=O)CNC(=O)CNC(=O)C(Cc1ccccc1)NC(=O)C(NC(=O)C1CC(=O)NCC(=O)NC(Cc2ccc(O)cc2)C(=O)N2CCCC2C(=O)NC(Cc2ccccc2)C(=O)NC(Cc2c[nH]c3ccccc23)C(=O)NC(CC(=O)O)C(=O)NC(CC(N)=O)C(=O)NC(CCCNC(=N)N)C(=O)N1)C(C)CC)C(C)O)C(=O)NCC(=O)O
BGC0001498_aerobactin.fasta,CC(=O)N(O)CCCCC(NC(=O)CC(O)(CC(=O)NC(CCCCN(O)C(C)=O)C(=O)O)C(=O)O)C(=O)O
BGC0001499_aerobactin.fasta,CC(=O)N(O)CCCCC(NC(=O)CC(O)(CC(=O)NC(CCCCN(O)C(C)=O)C(=O)O)C(=O)O)C(=O)O
BGC0001500_allocyclinone.fasta,COc1c(Cl)c(C(Cl)(Cl)Cl)cc2ccc3c(c12)C(=O)c1c(O)c2c(c(O)c1C3=O)C(C)(OC)OC2=O
BGC0001502_amonabactin.fasta,NC(CCCCNC(=O)CNC(=O)c1cccc(O)c1O)C(=O)NC(CCCCNC(=O)c1cccc(O)c1O)C(=O)NC(Cc1ccccc1)C(=O)O
BGC0001503_amycolamycin_B.fasta,COc1cc2c(Cl)c(c1OC)OC1c3ccc(cc3C3=CCC(O)C31OC1OCC(CC(=O)c3c(C)ccc(C)c3O)C(C)(O)C1O)C1(C)OC1(C)OC(=O)C2O
BGC0001504_amycomicin.fasta,C=NC1(C=CC)OC1C(O)CCCCC(=O)CCCCCCC(=O)O
BGC0001505_anacyclamide_D8P.fasta,CC(C)=CCOc1ccc(CC2NC(=O)C(CO)NC(=O)C(C(C)C)NC(=O)CNC(=O)C(CCC(N)=O)NC(=O)C(C)NC(=O)C3CCCN3C(=O)C(Cc3ccccc3)NC2=O)cc1
BGC0001506_anantin_B2.fasta,CCC(C)C1NC(=O)C(Cc2ccccc2)NC(=O)CNC(=O)CC(C(=O)NC(C(=O)NC(Cc2ccccc2)C(=O)NCC(=O)NC(Cc2cnc[nH]2)C(=O)NC(Cc2ccc(O)cc2)C(=O)NC(CO)C(=O)NCC(=O)NCC(=O)O)C(C)CC)NC(=O)C(CC(N)=O)NC(=O)CNC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)CNC1=O
BGC0001509_anikasin.fasta,CCCCCCCC(O)CC(=O)NC(CC(C)C)C(=O)NC(C(=O)O)C(=O)NC1C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(CO)C(=O)NC(CC(C)C)C(=O)NC(CO)C(=O)NC(CC(C)C)C(=O)NC(C(C)CC)C(=O)NC(CC(=O)O)C(=O)OC1C
BGC0001510_anisomycin.fasta,COc1ccc(CC2NCC(O)C2OC(C)=O)cc1
BGC0001511_ansamitocin_P_3.fasta,COc1cc2cc(c1Cl)N(C)C(=O)CC(OC(=O)C(C)C)C1(C)OC1C(C)C1CC(O)(NC(=O)O1)C(OC)C=CC=C(C)C2
BGC0001512_anthrabenzoxocinone.fasta,Cc1cc(O)cc2c1C1OC(C)(Cc3cc4c(c(O)c31)C(=O)c1c(O)cc(O)cc1C4(C)C)O2
BGC0001513_anthrabenzoxocinone.fasta,Cc1cc(O)cc2c1C1OC(C)(Cc3cc4c(c(O)c31)C(=O)c1c(O)cc(O)cc1C4(C)C)O2
BGC0001514_aristeromycin.fasta,Nc1ncnc2c1ncn2C1CC(CO)C(O)C1O
BGC0001519_aurantimycin.fasta,COCC1C(=O)NCC(=O)N2NCCCC2C(=O)N(O)C(C)C(=O)OC(C(C)C)C(NC(=O)C(C)(O)C2(O)CCC(CC(C)C)C(C)O2)C(=O)N2NCCCC2C(=O)N1O
BGC0001520_aurantinins_B_D.fasta,CC(=CC=CC=CC1C(C)=CC2C(CCC(C)C2OC2OC(C)C(O)C(=O)C2O)C2C(=O)OC(=O)C(C)=C3CC(O)C(C)C3=C12)CC(C)CC(O)C(C)C(=O)O
BGC0001521_auriculamide.fasta,CCC(=O)C(Cc1ccc(O)c(Cl)c1)NC(=O)C(O)C(C)CC
BGC0001522_auroramycin.fasta,CC1=CC=CC(C)=CCC(C)NC(=O)C(CC(C)C)=CC(C)=CC=CC=CC(C)(O)C(OC2OCC(OC3CC(C)(O)C(N(C)C)C(C)O3)C(O)C2N)C=CC=C1
BGC0001524_barnesin_A.fasta,CCCCCC=CC(=O)NC(Cc1ccc(O)cc1)C(=O)NC(C=CC(=O)O)CCCNC(=N)N
BGC0001525_bartoloside_3.fasta,CCCCCCCCCC(Cl)CCCCCc1c(Cl)c(OC2OC(C)C(O)C(O)C2O)c(CCCCCC(Cl)CCCCCC)c(O)c1C1OCC(O)C(O)C1O
BGC0001526_bartolosides_K.fasta,CCCCCCCC(Cl)(Cl)CCCCCc1cc(O)c(CCCCCC(Cl)CCCCCC)c(OC2OCC(O)C(O)C2O)c1
BGC0001530_bicyclomycin.fasta,C=C1CCOC2(C(O)C(C)(O)CO)NC(=O)C1(O)NC2=O
BGC0001531_bisucaberin_B.fasta,O=C1CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN1
BGC0001536_brevicidine.fasta,CCC(C)CCC(=O)NC(CC(N)=O)C(=O)NC(Cc1ccc(O)cc1)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CCCN)C(=O)NC(CCCN)C(=O)NCC(=O)NC(CCCN)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC1C(=O)NC(C(C)CC)C(=O)NCC(=O)NC(CO)C(=O)OC1C
BGC0001537_butyrolactol_A.fasta,CC(CC=CC=CCCC=CC=CCCC(C)(C)C)C(O)C(O)C(O)C(O)C(O)C1OC(=O)C(O)C1O
BGC0001538_caboxamycin.fasta,O=C(O)c1cccc2oc(-c3ccccc3O)nc12
BGC0001539_cattlecin.fasta,O=C(O)CC(NC(=O)C(CC(=O)O)NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)CNC(=O)C(Cc1ccc(O)cc1)NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)CNC(=O)C(Cc1cnc[nH]1)NC(=O)C(Cc1cnc[nH]1)NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C1CC(=O)NC(CO)C(=O)NC(Cc2ccc(O)cc2)C(=O)NC(Cc2cnc[nH]2)C(=O)NC(Cc2c[nH]c3ccccc23)C(=O)NCC(=O)NC(CC(=O)O)C(=O)NC(Cc2ccc(O)cc2)C(=O)NC(Cc2cnc[nH]2)C(=O)N1)C(=O)O
BGC0001540_CC_1065.fasta,COc1c(O)c2c(c3cc(C(=O)N4CCc5c4c(O)c(OC)c4[nH]c(C(=O)N6CC7CC78C6=CC(=O)c6[nH]cc(C)c68)cc54)[nH]c13)CCN2C(N)=O
BGC0001548_citrulassin_A.fasta,CC(C)CC1NC(=O)CNC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)CC(C(=O)NC(CCCNC(N)=O)C(=O)NC(CC(C)C)C(=O)NC(C(=O)NC(CC(C)C)C(=O)NC(CO)C(=O)NC(CCCCN)C(=O)NC(CC(N)=O)C(=O)O)C(C)C)NC(=O)C(CC(N)=O)NC(=O)CNC(=O)C(C)NC1=O
BGC0001549_citrulassin_B.fasta,CCC(C)C(NC(=O)C(CC(C)C)NC(=O)C(CCCNC(N)=O)NC(=O)C1CC(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(CCC(N)=O)C(=O)NC(CCCNC(=N)N)C(=O)NC(Cc2cnc[nH]2)C(=O)NCC(=O)NC(CC(N)=O)C(=O)N1)C(=O)NC(Cc1ccccc1)C(=O)NC(CO)C(=O)NC(CCCCN)C(=O)NC(CC(N)=O)C(=O)O
BGC0001550_citrulassin_D.fasta,CC(C)CC1NC(=O)CC(C(=O)NC(CCCNC(N)=O)C(=O)NC(CC(C)C)C(=O)NC(C(=O)NC(CC(C)C)C(=O)NC(CO)C(=O)NC(CCCCN)C(=O)NC(CC(N)=O)C(=O)O)C(C)C)NC(=O)C(CC(N)=O)NC(=O)CNC(=O)C(CO)NC(=O)C(CCCNC(=N)N)NC(=O)CNC(=O)C(CC(C)C)NC1=O
BGC0001552_citrulassin_F.fasta,CCC(C)C(NC(=O)C(CC(C)C)NC(=O)C(CCCNC(N)=O)NC(=O)C1CC(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NCC(=O)NC(CCCNC(=N)N)C(=O)NC(CO)C(=O)NCC(=O)NC(CC(N)=O)C(=O)N1)C(=O)NC(CC(C)C)C(=O)NC(CO)C(=O)NC(CCCCN)C(=O)NC(CC(N)=O)C(=O)O
